Name,RA_hms,Dec_dms
J0648-27,06:48:00,-27:00:00
J0651-0055_P,06:51:08.3,-00:55:00
J0652-0142,06:52:11.1,-01:42:30.3
J0653+0443_P,06:53:03.8,+04:43:00
J0653+4706,06:53:05.8,+47:06:26.9
B0643+80,06:53:15.0,+80:52:00.2
J0653-06,06:53:00,-06:16:00
J0656-2228,06:56:30.2,-22:28:25.5
J0656-5449,06:56:48.9,-54:49:14.7
J0658+0022,06:58:15.2,+00:22:35.3
J0658+2936,06:57:44.6,+29:36:29
B0656+14,06:59:48.1,+14:14:19.4
J0659-36,06:59:00,-36:00:00
B0655+64,07:00:37.8,+64:18:11.2
J0702-4956,07:02:39.3,-49:56:34.2
J0709+0458,07:09:08.3,+04:58:51.4
J0709-5923,07:09:32.5,-59:23:55.6
J0711+0931,07:11:36.1,+09:31:25
J0711-6830,07:11:54.1,-68:30:47.3
J0719-2545,07:19:07.3,-25:45:00.2
J0720-3125,07:20:24.9,-31:25:50.0
J0721-2038,07:21:42.9,-20:38:07.0
J0723-2050,07:23:04.8,-20:49:52
J0725-1635,07:25:00.4,-16:35:45.8
J0726-2612,07:26:08.1,-26:12:38.1
J0729-1448,07:29:16.4,-14:48:36.8
B0727-18,07:29:32.3,-18:36:42.2
J0732+2314,07:32:37.5,+23:14:54.2
J0733-2345,07:33:24.6,-23:45:56.2
J0734+14,07:34:30,+14:43:00
J0734-1559,07:34:45.6,-15:59:18.2
J0736-6304,07:36:20.0,-63:04:16
J0737-2202,07:37:44.0,-22:02:05.5
J0737-3039A,07:37:51.2,-30:39:40.7
J0737-3039B,07:37:51.2,-30:39:40.7
J0738+6904,07:38:22.6,+69:04:20.0
B0736-40,07:38:32.3,-40:42:40.1
J0740+6620,07:40:45.7,+66:20:33.5
J0741+17,07:41:00,+17:03:00
J0742+4110,07:42:12.1,+41:10:14.8
J0742+4334,07:42:42.1,+43:34:02.2
B0740-28,07:42:49.0,-28:22:43.7
J0744-2525,07:44:00,-25:25:00
B0743-53,07:45:04.4,-53:53:09.5
J0746-4529,07:46:59.5,-45:29:26.6
J0747+6646,07:47:39.6,+66:46:56.7
J0749+5720,07:49:42.1,+57:20:52.3
J0749-4247,07:49:49.6,-42:47:41.1
J0750+57,07:50:00,+57:00:00
J0750-6846,07:50:35.8,-68:46:33.8
J0751+1807,07:51:09.1,+18:07:38.4
J0753-0816,07:53:33,-08:19:35
B0751+32,07:54:40.6,+32:31:56.2
B0756-15,07:58:29.0,-15:28:08.7
J0758-30,07:58:00,-30:00:00
J0758-3002,07:58:24.6,-30:02:20.5
J0802-5613,08:02:00,-56:13:00
J0803+34,08:03:05,+34:19:00
J0803-0942,08:03:26.8,-09:42:50.8
J0804-3647,08:04:22.2,-36:47:35.5
J0806+08,08:06:05,+08:17:00
J0806-4123,08:06:23.4,-41:22:30.9
J0807-5421,08:07:47.1,-54:21:26.1
J0808-3937,08:08:11.6,-39:37:52.9
B0808-47,08:09:43.8,-47:53:54.8
J0811+37,08:11:12,+37:28:00
J0812-3905,08:12:14.8,-39:05:48.9
J0813+22,08:13:54,+22:01:00
B0809+74,08:14:59.5,+74:29:05.7
J0815+0939,08:15:08.7,+09:39:50.7
J0815+4611,08:15:59.4,+46:11:53.2
J0818-3049,08:18:49.3,-30:49:31
J0818-3232,08:18:25.9,-32:32:30.5
B0818-13,08:20:26.3,-13:50:55.8
J0820-3826,08:20:59.9,-38:26:43.1
J0820-3921,08:20:49.1,-39:21:55.7
B0818-41,08:20:15.4,-41:14:35.2
J0821-4221,08:21:44.6,-42:21:25.4
J0821-4300,08:21:57.3,-43:00:17.0
B0820+02,08:23:09.7,+01:59:12.4
J0824+0028,08:24:24.8,+00:28:00.5
B0823+26,08:26:51.5,+26:37:21.2
J0827+53,08:27:48,+53:00:00
B0826-34,08:28:16.6,-34:17:07
J0831-4406,08:31:32.4,-44:06:11.9
J0834-4159,08:34:17.8,-41:59:35.9
J0834-60,08:34:50,-60:35:00
J0835-3707,08:35:03.0,-37:07:51.5
B0833-45,08:35:20.6,-45:10:34.8
J0836-4233,08:36:05.8,-42:33:24.9
B0834+06,08:37:05.6,+06:10:16.0
J0837-2454,08:37:57.7,-24:54:29.7
B0835-41,08:37:21.1,-41:35:14.5
J0838-2621,08:38:18.7,-26:21:29.5
J0838-2827,08:38:50.4,-28:27:56.9
J0838-3947,08:38:30.8,-39:47:22
J0839-66,08:39:37,-66:34:52
B0839-53,08:40:33.7,-53:32:35.8
B0840-48,08:42:05.4,-48:51:20.6
J0843+0719,08:43:33.8,+07:18:47.8
J0843+67,08:43:22.8,+67:13:08
J0843-5022,08:43:09.8,-50:22:42.9
B0844-35,08:46:06.0,-35:33:40.7
J0847-4316,08:47:57.3,-43:16:56.8
J0848+16,08:48:53,+16:43:00
B0841+80,08:49:01.5,+80:28:59.1
J0849-6322,08:49:42.5,-63:22:34.7
J0853-4648,08:53:21.3,-46:48:56.1
J0854+5449,08:54:25.7,+54:49:28.7
B0853-33,08:55:38.4,-33:31:39.3
J0855-4644,08:55:36.1,-46:44:13.4
J0855-4658,08:55:19.5,-46:58:22.6
B0855-61,08:56:59.2,-61:37:52.8
J0857+3349,08:57:07.0,+33:49:17.0
J0857-4424,08:57:55.8,-44:24:10.6
J0900-3144,09:00:43.9,-31:44:30.8
J0901-4046,09:01:29.2,-40:46:02.9
J0901-4624,09:01:40.1,-46:24:48.3
B0901-63,09:02:32.2,-63:25:12.3
B0903-42,09:04:59.0,-42:46:13.3
B0904-74,09:04:10.4,-74:59:42.5
J0905-4536,09:05:23.8,-45:36:53.2
J0905-5127,09:05:51.9,-51:27:54.0
J0905-6019,09:05:15.2,-60:19:22.0
B0905-51,09:07:15.9,-51:57:59.3
B0906-17,09:08:38.1,-17:39:37.6
B0906-49,09:08:35.4,-49:13:05.0
B0909-71,09:09:35.8,-72:12:08.9
B0904+77,09:10:00,+77:28:00
J0911-42,09:11:45,-42:40:00
J0912-3851,09:12:42.7,-38:51:03
J0916-5243,09:16:09.1,-52:43:44.4
J0917-4413,09:17:52.4,-44:13:20.4
J0919-42,09:19:00,-42:00:00
J0919-6040,09:19:27.8,-60:40:50.4
B0917+63,09:21:14.1,+62:54:13.9
J0921-5202,09:21:59.8,-52:02:38.4
B0919+06,09:22:14.0,+06:38:23.3
J0922-4534,09:22:16.5,-45:34:41.0
J0922-4949,09:22:14.9,-49:49:11.9
J0923-31,09:23:58,-31:57:00
B0922-52,09:24:08.7,-53:02:42.6
B0923-58,09:24:30.8,-58:14:05.1
J0925+6103,09:25:17.5,+61:03:04.1
J0927+2345,09:27:45.2,+23:45:10.7
J0927-5242,09:27:14.8,-52:42:18.6
J0928+06,09:28:44,+06:14:00
J0928+30,09:29:00,+30:38:00
J0930-1854,09:30:35.2,-18:54:31.1
J0930-2301,09:30:02.8,-23:01:45
J0931-1902,09:31:19.1,-19:02:55.0
J0932-3217,09:32:39.1,-32:17:14.2
J0932-5327,09:32:22.8,-53:27:11.0
J0933-4604,09:33:52.1,-46:04:47.2
J0934-4154,09:34:58.2,-41:54:19.5
B0932-52,09:34:28.2,-52:49:27.3
J0935+33,09:35:06,+33:11:00
J0936-4750,09:36:41.5,-47:50:30.6
J0940-5428,09:40:58.2,-54:28:39.9
J0941-39,09:41:38,-39:41:00
J0941-5244,09:41:41.1,-52:44:04.5
B0940-55,09:42:14.8,-55:52:55.1
B0941-56,09:42:54.4,-56:57:43.3
B0940+16,09:43:30.1,+16:31:37
J0943+2253,09:43:32.3,+22:53:05.6
J0943-5305,09:43:08,-53:05:17
J0944+4106,09:44:18.1,+41:06:04.5
B0942-13,09:44:28.9,-13:54:42.0
J0945-4833,09:45:38.2,-48:33:14.5
B0943+10,09:46:07.6,+09:51:55
J0947+2740,09:47:21.2,+27:40:43.5
J0948-5549,09:48:12.2,-55:49:16.9
J0949-6902,09:49:20.5,-69:02:41.6
J0951-71,09:51:24,-71:19:01
J0952-0607,09:52:08.3,-06:07:23.4
B0950-38,09:52:17.1,-38:39:09.9
B0950+08,09:53:09.3,+07:55:35.7
J0954-5430,09:54:06.0,-54:30:52.7
J0954-5754,09:54:53.5,-57:54:48.6
J0955-3947,09:55:27.8,-39:47:52.2
B0953-52,09:55:29.4,-53:04:16.6
J0955-6150,09:55:20.8,-61:50:16.8
J0957-0619,09:57:00,-06:17:00
J0957-5432,09:57:56.0,-54:32:03.9
B0957-47,09:59:26.2,-48:09:47.5
J1000+08,10:00:38,+08:19:58
J1000-5149,10:00:28.1,-51:49:58.1
B0959-54,10:01:37.9,-55:07:06.7
J1001-5559,10:01:08.5,-55:58:59.9
J1001-5603,10:01:04.9,-56:03:10.0
J1001-5939,10:01:32.2,-59:39:17.8
J1002-5559,10:02:57.9,-55:59:37
J1002-5919,10:02:20.5,-59:19:37.2
J1003+41,10:03:30,+41:03:00
B1001-47,10:03:21.5,-47:47:01.1
J1005+30,10:05:30,+30:15:00
J1006-6311,10:06:36.6,-63:11:41.2
J1010+15,10:10:00,+15:51:00
J1012+5307,10:12:33.4,+53:07:02.2
B1010-23,10:12:33.7,-23:38:22.4
J1012-4235,10:12:12.9,-42:35:53.3
J1012-5830,10:12:54.9,-58:30:25.6
B1011-58,10:12:48.4,-58:57:48.5
J1013-5934,10:13:31.8,-59:34:26.6
J1014-48,10:14:18,-48:49:42
J1015-5359,10:15:57.7,-53:59:11.9
J1015-5719,10:15:37.9,-57:19:12.8
B1014-53,10:16:31.1,-53:45:14.2
J1016-5819,10:16:12.0,-58:19:01.0
J1016-5857,10:16:21.1,-58:57:12.1
J1017+3011,10:17:36.2,+30:11:46.1
B1015-56,10:17:12.8,-56:21:30.5
J1017-7156,10:17:51.3,-71:56:41.6
J1018-1523,10:18:12.7,-15:23:10.2
B1016-16,10:18:40.3,-16:42:10.1
J1019-5749,10:19:52.1,-57:49:05.9
J1020-5510,10:20:31.9,-55:10:07.8
J1020-5921,10:20:14.0,-59:21:34
J1020-6026,10:20:11.4,-60:26:06.3
J1020-6158,10:20:12.2,-61:58:51.7
J1021-5601,10:21:24.8,-56:01:50.9
J1022+1001,10:22:57.9,+10:01:52.8
J1022-5813,10:22:28.1,-58:13:30
J1023+0038,10:23:47.6,+00:38:40.8
J1023-5746,10:23:02.9,-57:46:05
J1024-0719,10:24:38.6,-07:19:19.4
J1028-5819,10:28:28.0,-58:19:05.2
J1030-6008,10:30:26.1,-60:08:37.3
