Name,RA_hms,Dec_dms
J1538-5551,15:38:45.0,-55:51:36.9
J1538-5621,15:38:43.2,-56:21:55.5
J1538-5638,15:38:05.7,-56:38:12
J1538-5732,15:38:18.1,-57:32:30.2
J1538-5750,15:38:08.4,-57:50:17.1
J1539-4828,15:39:40.8,-48:28:57
J1539-5521,15:39:07.9,-55:21:11.2
B1535-56,15:39:14.0,-56:26:26.3
J1539-6322,15:39:24.7,-63:22:53.2
J1540-5736,15:40:59.0,-57:36:57
J1540-5821,15:40:10.6,-58:21:55.5
J1541+4703,15:41:05.5,+47:03:03.7
J1541-42,15:41:55,-42:18:50
J1541-5535,15:41:49.6,-55:35:01
J1542-5034,15:42:45.3,-50:34:03.6
J1542-5133,15:42:19.9,-51:33:35
J1542-5303,15:42:54.4,-53:03:41.2
B1541+09,15:43:38.8,+09:29:16.3
B1540-06,15:43:30.1,-06:20:45.3
J1543-5013,15:43:58.2,-50:13:58
J1543-5149,15:43:44.1,-51:49:54.7
J1543-5439,15:43:29.2,-54:39:22.9
J1543-5459,15:43:56.4,-54:59:15.0
J1544+4937,15:44:04.4,+49:37:55.3
J1544-0713,15:44:23.5,-07:13:59.0
B1541-52,15:44:59.8,-53:08:46.9
J1545-4550,15:45:55.9,-45:50:37.5
J1546-3747A,15:46:03.4,-37:47:10.1
J1546-5302,15:46:07.3,-53:02:22.8
J1546-5925,15:46:29.3,-59:25:44.8
J1547-0944,15:47:46.0,-09:44:07.8
J1547-5056,15:47:04.7,-50:56:19.0
J1547-5709,15:47:24.1,-57:09:17.5
J1547-5750,15:47:30.6,-57:50:29.4
J1547-5839,15:47:34.9,-58:39:10.2
J1548-4821,15:48:23.2,-48:21:50.4
J1548-4927,15:48:19.4,-49:27:40.4
J1548-55,15:48:30,-55:54:00
J1548-5607,15:48:44.0,-56:07:34.4
J1549+2113,15:49:40.9,+21:13:26.9
J1549-4848,15:49:21.0,-48:48:35.5
J1549-5337,15:49:00,-53:37:24
J1549-57,15:49:05,-57:21:37
J1549-5722,15:49:47.9,-57:22:02
J1550-5242,15:50:02.9,-52:42:06.4
J1550-5317,15:50:04.8,-53:17:21
J1550-5418,15:50:54.1,-54:18:24.1
J1551-0658,15:51:09.5,-06:58:07.8
J1551-4424,15:51:48.0,-44:24:42
J1551-5310,15:51:41.0,-53:11:00.5
J1551-6214,15:51:36.7,-62:14:23.3
J1552+5437,15:52:53.3,+54:37:05.7
J1552-4937,15:52:13.2,-49:37:49.7
B1550-54,15:53:59.6,-54:56:06.2
J1554+18,15:54:17,+18:04:00
J1554-4854,15:54:42.6,-48:54:01.5
J1554-5209,15:54:27.1,-52:09:38.3
J1554-5512,15:54:40.5,-55:12:33
J1554-5906,15:54:44.2,-59:06:41.6
J1555+01,15:55:58,+01:08:00
J1555-0515,15:55:40.0,-05:15:57.4
B1552-23,15:55:33.1,-23:41:09.9
J1555-2908,15:55:40.6,-29:08:28.4
B1552-31,15:55:17.9,-31:34:20.1
J1555-53,15:55:00,-53:00:00
J1556-52,15:56:09,-52:56:00
J1556-5358,15:56:51.5,-53:58:55
J1557-4258,15:57:00.2,-42:58:12.6
J1557-5151,15:57:29.3,-51:51:08.4
J1557-54,15:57:45,-54:04:00
J1558-5419,15:58:41.4,-54:19:26
J1558-5756,15:58:30.5,-57:56:26.1
J1558-67,15:58:21,-67:35:59
J1559-44,15:59:00,-44:00:00
B1556-44,15:59:41.5,-44:38:45.9
J1559-55,15:59:54,-55:37:00
B1555-55,15:59:20.7,-55:45:47
J1600-3053,16:00:51.9,-30:53:49.3
J1600-49,16:0:24,-49:39:00
B1557-50,16:00:53.0,-50:44:21.3
B1556-57,16:00:19.9,-57:51:15.0
J1600-5916,16:00:35.0,-59:16:59
J1601-50,16:01:24,-50:23:00
J1601-5244,16:01:27.3,-52:44:09
J1601-5335,16:01:54.8,-53:35:44.1
J1602+3901,16:02:18.8,+39:01:01.8
J1602-1009,16:02:13.2,-10:09:19.9
J1602-4957,16:02:18.2,-49:57:32
B1558-50,16:02:18.7,-51:00:06.1
J1603+18,16:03:34,+18:51:00
J1603-1655,16:03:09,-16:55:28
J1603-2531,16:03:04.8,-25:31:47.9
B1600-27,16:03:08.0,-27:13:27.6
J1603-3539,16:03:53.6,-35:39:56.9
J1603-5312,16:03:50.8,-53:12:58.0
J1603-54,16:3:24,-54:09:00
J1603-5657,16:03:31.4,-56:57:44.1
J1603-7202,16:03:35.6,-72:02:32.7
J1604-0057,16:04:27.5,-00:57:56.3
J1604-3142,16:04:36.5,-31:42:06.4
J1604-44,16:04:32,-44:43:00
J1604-4718,16:04:29.4,-47:18:47.9
J1604-4832,16:04:47.2,-48:33:06.0
B1600-49,16:04:22.9,-49:09:57.9
J1604-7203,16:04:29.1,-72:03:30.4
J1605+3249,16:05:18.5,+32:49:18.0
J1605-52,16:5:12,-52:28:00
J1605-5215,16:05:19.0,-52:15:48
J1605-5228,16:5:12,-52:28:00
B1601-52,16:05:16.2,-52:57:34.8
B1604-00,16:07:12.0,-00:32:41.5
J1607-5140,16:07:49.3,-51:40:16
J1607-6449,16:07:48.7,-64:49:43.0
J1609-1930,16:09:05.3,-19:30:08
J1609-4616,16:09:41.1,-46:16:22.7
J1609-5158,16:09:26.7,-51:58:18
B1607-13,16:10:42.7,-13:22:22
J1610-17,16:10:11,-17:50:00
J1610-4938,16:10:59.1,-49:38:09.3
J1610-5006,16:10:44.3,-50:06:42.2
J1610-5303,16:10:12.8,-53:03:49
J1611-01,16:11:00,-01:28:00
J1611-0114,16:11:05.4,-01:14:55.1
J1611-29,16:11:00,-29:00:00
J1611-4811,16:11:02.7,-48:11:39
J1611-4949,16:11:46.6,-49:49:56.9
B1607-52,16:11:03.3,-52:09:22.1
J1611-5847,16:11:51.3,-58:47:42.3
J1612+2008,16:12:23.4,+20:08:18.3
J1612-2408,16:12:26.0,-24:08:04
J1612-49,16:12:54,-49:27:00
J1612-5022,16:12:28.0,-50:22:57.3
J1612-5136,16:12:00.6,-51:36:54
J1612-53,16:12:26,-53:30:00
J1612-55,16:12:06,-55:09:00
J1612-5805,16:12:27.8,-58:05:29.3
B1609-47,16:13:29.0,-47:14:26.2
J1613-5211,16:13:42.3,-52:11:21.3
J1613-5234,16:13:57.4,-52:34:17
B1612+07,16:14:40.9,+07:37:31.0
J1614-2230,16:14:36.5,-22:30:31.2
J1614-2318,16:14:02.4,-23:18:24.5
J1614-3846,16:14:42.5,-38:46:35
J1614-3937,16:14:31.4,-39:37:28.0
J1614-4608,16:14:42.9,-46:08:36.9
B1610-50,16:14:11.2,-50:48:03.5
J1614-5144,16:14:45.7,-51:44:49
J1614-52,16:14:42,-52:20:00
J1614-5402,16:14:50.3,-54:02:47
B1612-29,16:15:52.8,-29:40:16
J1615-4958,16:15:17.3,-49:58:02.0
J1615-5137,16:15:16.8,-51:37:12
J1615-5444,16:15:01.1,-54:44:32.4
B1611-55,16:15:40.4,-55:37:00.9
J1615-5609,16:15:49.6,-56:09:32.8
J1616-5017,16:16:29.8,-50:17:14.9
J1616-5109,16:16:30.9,-51:09:17
J1616-5208,16:16:23.4,-52:08:48
J1617+1123,16:17:56.7,+11:23:23.8
J1617-4216,16:17:23.3,-42:16:58.2
J1617-4608,16:17:35.1,-46:08:36.5
J1617-5055,16:17:29.3,-50:55:13.2
J1618-36,16:18:32.1,-36:03:42
J1618-3921,16:18:18.8,-39:21:01.8
J1618-42,16:18:45,-42:41:00
J1618-4624,16:18:52.7,-46:24:34.9
J1618-4723,16:18:06.7,-47:23:19.2
J1619+3953,16:19:13.4,+39:53:05.3
J1619-3345,16:19:02,-33:45:01
J1619-42,16:19:06,-42:02:00
J1620-4927,16:20:41.5,-49:27:37.1
J1620-5414,16:20:14.4,-54:14:51.7
J1621-5039,16:21:04.7,-50:39:49.3
J1621-5243,16:21:55.7,-52:43:43.9
J1622-0315,16:22:59.6,-03:15:37.3
J1622-3751,16:22:04.5,-37:51:13.9
J1622-4332,16:22:45.3,-43:32:27.5
J1622-4347,16:22:30.0,-43:47:21.4
J1622-4802,16:22:47.0,-48:02:13.3
J1622-4845,16:22:05.4,-48:46:29
J1622-4944,16:22:37.5,-49:44:30
J1622-4950,16:22:44.8,-49:50:54.4
J1622-6617,16:22:03.6,-66:17:16.9
J1623-0841,16:23:42.6,-08:41:36.6
B1620-09,16:23:17.6,-09:08:48.7
B1620-26,16:23:38.2,-26:31:53.7
B1620-42,16:23:48.2,-42:56:52.6
J1623-4608,16:23:27.7,-46:08:01.6
J1623-4931,16:23:32.5,-49:31:08.0
J1623-4949,16:23:54.7,-49:49:04.8
J1623-5005,16:23:04.1,-50:05:15.1
J1623-6936,16:23:51.3,-69:36:49.2
J1624+5850,16:24:00.9,+58:50:15.7
J1624+8643,16:24:32.7,+86:43:13.2
J1624-39,16:24:25,-39:51:00
J1624-4041,16:24:09.9,-40:41:29.7
J1624-4411,16:24:21.3,-44:11:34.0
J1624-4613,16:24:18.7,-46:13:02
J1624-4721,16:24:54.8,-47:21:27
J1625-0021,16:25:10.3,-00:21:28.9
J1625-4048,16:25:10.3,-40:48:21.5
J1625-4904,16:25:18.0,-49:04:33.6
J1625-4913,16:25:16.4,-49:13:44.6
J1626-44,16:27:00,-44:22:00
J1626-4537,16:26:48.9,-45:37:25.7
J1626-4807,16:26:42.5,-48:07:54
J1626-6621,16:26:06.8,-66:21:15.2
J1627+1419,16:27:18.7,+14:19:20.7
J1627+3219,16:27:56.4,+32:19:39
J1627-4706,16:27:28.7,-47:06:50.2
J1627-4845,16:27:10.3,-48:45:08
J1627-49,16:27:42,-49:54:00
J1627-51,16:27:30,-51:08:00
J1627-5547,16:27:21.0,-55:47:52.7
J1627-5936,16:27:52.5,-59:36:55.2
J1628+4406,16:28:50.3,+44:06:42.6
J1628-3205,16:28:07.0,-32:05:48.9
J1628-46,16:28:00,-46:25:00
J1628-4804,16:28:26.8,-48:04:59
J1628-4828,16:28:30.9,-48:28:42
J1629+33,16:29:00,+33:00:00
J1629-3636,16:29:35.8,-36:36:13
J1629-3825,16:29:14.6,-38:25:29.7
J1629-6902,16:29:08.7,-69:02:45.4
J1630+3550,16:30:35.9,+35:50:42.4
J1630+3734,16:30:36.4,+37:34:42.0
J1630-2609,16:30:28.9,-26:09:47
J1630-4719,16:30:02.5,-47:19:41.4
B1626-47,16:30:37.4,-47:33:05.0
J1631+1252,16:31:43.2,+12:52:05.4
J1631-1612,16:31:52.4,-16:12:52.0
J1631-4155,16:31:18.3,-41:55:03.7
J1631-47,16:31:06,-47:31:00
J1631-4722,16:31:59.4,-47:22:07.1
J1632-1013,16:32:54.2,-10:13:18
J1632-4509,16:32:14.0,-45:09:09
J1632-4621,16:32:49.7,-46:21:48.1
J1632-4757,16:32:16.6,-47:57:34.5
J1632-4818,16:32:39.7,-48:18:53.8
J1632-49,16:32:36,-49:05:00
J1633-2009,16:33:55.3,-20:10:09
B1630-44,16:33:47.0,-44:53:07.8
J1633-4805,16:33:05.4,-48:05:36
J1633-4859,16:33:04.5,-48:59:03.7
B1629-50,16:33:00.0,-50:15:08.3
J1634+02,16:34:50,+02:34:03
J1634-4229,16:34:14.6,-42:29:44.3
J1634-49,16:34:36,-49:52:00
J1634-495,16:34:36,-49:58:00
J1634-5107,16:34:04.9,-51:07:45.6
J1634-5640,16:34:19.1,-56:40:49.1
J1635+2332,16:35:05.3,+23:32:23.2
B1633+24,16:35:25.7,+24:18:47.3
J1635-1511,16:35:47.3,-15:11:52
J1635-4513,16:35:55.4,-45:13:27
J1635-46,16:35:54,-46:45:00
J1635-47,16:35:29,-47:47:00
J1635-4735,16:35:51.8,-47:35:23.3
J1635-4944,16:35:55.4,-49:44:36
B1630-59,16:35:09.1,-59:54:41.0
J1636-2614,16:36:11.5,-26:14:47.0
J1636-4217,16:36:21.2,-42:17:30.7
J1636-4440,16:36:16.5,-44:40:25
J1636-4803,16:36:32.0,-48:03:55
J1636-4933,16:36:55.1,-49:33:10
J1636-51,16:36:14,-51:33:00
J1637-4335,16:37:56.8,-43:35:42
J1637-4450,16:37:53.1,-44:50:25.4
B1634-45,16:37:58.6,-45:53:26.6
J1637-46,16:37:36,-46:13:00
J1637-4642,16:37:13.7,-46:42:14.2
J1637-4721,16:37:11.4,-47:21:03
J1637-4816,16:37:58.6,-48:16:12
J1638+4005,16:38:16.2,+40:05:56.3
J1638-35,16:38:00,-35:00:00
J1638-3815,16:38:37.3,-38:15:03.5
J1638-3951,16:38:15.5,-39:51:59
J1638-4233,16:38:24.7,-42:33:55
J1638-4344,16:38:52.8,-43:44:04
J1638-44,16:38:18,-44:40:00
J1638-4417,16:38:46.2,-44:17:03.2
J1638-4608,16:38:23.2,-46:08:13.4
J1638-47,16:38:00,-47:53:00
J1638-4713,16:38:02.6,-47:13:53.8
J1638-4725,16:38:12.9,-47:25:32
J1638-5226,16:38:59.9,-52:26:57.5
J1639-1126,16:39:55.9,-11:26:10.9
J1639-4359,16:39:06.8,-43:59:52
J1639-46,16:39:12,-46:27:00
B1635-45,16:39:21.1,-46:04:33.5
J1640+2224,16:40:16.7,+22:24:08.8
J1640-4631,16:40:43.5,-46:31:35.4
J1640-4648,16:40:47.6,-46:48:45
B1636-47,16:40:13.0,-47:15:38.1
J1640-4951,16:40:43.5,-49:51:02.1
B1639+36A,16:41:40.8,+36:27:14.9
B1639+36B,16:41:40.3,+36:25:58.4
J1641+3627C,16:41:41.0,+36:27:02.7
J1641+3627D,16:41:42.3,+36:27:28.2
J1641+3627E,16:41:42.0,+36:27:34.9
J1641+3627F,16:41:44.6,+36:28:16.0
J1641+8049,16:41:20.8,+80:49:52.9
J1641-2347,16:41:18.0,-23:47:36
J1641-49,16:41:48,-49:34:00
J1641-5317,16:41:15.9,-53:17:48.8
J1643+1338,16:43:54.1,+13:38:43.9
J1643-10,16:43:00,-10:00:00
J1643-1224,16:43:38.1,-12:24:58.6
J1643-4505,16:43:36.9,-45:05:45.8
J1643-4522,16:43:20.4,-45:22:01
J1643-4550,16:43:13.4,-45:50:55.4
J1644-33,16:44:00,-33:00:00
J1644-44,16:44:36,-44:10:00
B1641-45,16:44:49.2,-45:59:09.7
J1644-46,16:44:06,-46:26:00
J1644-4657,16:44:38.5,-46:57:38
J1645+1012,16:45:34.4,+10:12:16.0
B1642-03,16:45:02.0,-03:17:57.8
J1645-4836,16:45:51,-48:36:41
J1646-1910,16:46:18.6,-19:10:14
J1646-2142,16:46:18.6,-21:42:02.5
J1646-4308,16:46:55.3,-43:08:07
B1643-43,16:46:51.3,-43:46:38
J1646-4406,16:46:22.7,-44:05:41.0
J1646-4545,16:46:49.6,-45:45:39.8
J1646-5123,16:46:36.3,-51:23:14.6
B1641-68,16:46:54.8,-68:31:51.4
J1647+6608,16:47:32.5,+66:08:22.2
J1647+6609,16:47:32.4,+66:08:22.0
J1647-3607,16:47:46.5,-36:07:04
J1647-4552,16:47:10.2,-45:52:16.8
J1647-49,16:47:18,-49:10:00
J1648-3256,16:48:06.0,-32:56:41.1
J1648-4458,16:48:13.0,-44:58:26
J1648-4611,16:48:22.0,-46:11:15.7
J1648-6044,16:48:51.2,-60:44:25.5
J1649+2533,16:49:44.2,+25:33:07.0
J1649-3012,16:49:00,-30:12:00
J1649-3752,16:49:11.3,-37:52:15.9
J1649-3805,16:49:48.2,-38:05:58.6
J1649-3935,16:49:06.6,-39:35:44.2
J1649-4230,16:49:46.6,-42:30:21.3
J1649-4349,16:49:20.4,-43:49:23.0
J1649-4653,16:49:24.6,-46:53:09.3
J1649-4729,16:49:18.2,-47:29:53
J1649-5553,16:49:31.1,-55:53:40
J1650-1654,16:50:27.1,-16:54:42.2
J1650-4126,16:50:13.1,-41:26:33.7
J1650-4341,16:50:44.6,-43:41:30.8
J1650-4502,16:50:32.3,-45:02:37.3
J1650-4601,16:50:18.6,-46:01:18.6
J1650-4921,16:50:35.1,-49:21:03.7
J1650-5025,16:50:00.1,-50:26:03.0
J1651+14,16:51:00,+14:22:00
B1648-17,16:51:31.7,-17:09:22
B1648-42,16:51:48.7,-42:46:09.9
J1651-4519,16:51:57.2,-45:19:11
J1651-46,16:51:06,-46:47:00
B1647-52,16:51:42.9,-52:22:58.3
B1647-528,16:51:41.4,-52:55:47.7
J1651-7642,16:51:07.8,-76:42:40.0
J1652+2651,16:52:03.0,+26:51:40.4
J1652-1400,16:52:16.6,-14:00:27.4
B1649-23,16:52:58.5,-24:03:51
J1652-4237,16:52:00,-42:35:00
J1652-4406,16:52:59.5,-44:06:05
J1652-4838,16:52:37.6,-48:38:51.7
J1652-5154,16:52:32.7,-51:54:10.6
J1653-0158,16:53:38.0,-01:58:36.8
J1653-2054,16:53:31.0,-20:54:54.9
B1650-38,16:53:39.7,-38:38:20.8
J1653-4030,16:53:34.2,-40:30:01.4
J1653-4105,16:53:25.3,-41:05:25.6
J1653-4249,16:53:40.2,-42:49:03.3
J1653-4315,16:53:29.7,-43:15:01
J1653-45,16:53:54,-45:17:00
J1653-4854,16:53:56.7,-48:54:51
J1654-23,16:54:03,-23:35:00
J1654-26,16:54:39,-26:36:18
J1654-2713,16:54:23.6,-27:13:02
J1654-3710,16:54:44.4,-37:10:57.1
J1654-4140,16:54:23.5,-41:40:24
J1654-4245,16:54:22.0,-42:45:39
J1655-3048,16:55:24.5,-30:48:43.3
J1655-3844,16:55:38.6,-38:44:09
J1655-401,16:55:12,-40:14:00
J1655-404,16:55:14,-40:49:00
J1656+00,16:56:41,+00:26:00
J1656+6203,16:56:10.2,+62:03:50.4
J1656-3621,16:56:32.9,-36:22:00.4
J1657+3304,16:57:50.6,+33:04:33.6
J1657-0406A,16:57:09.1,-04:06:01
J1657-0406B,16:57:09.1,-04:06:01
J1657-4432,16:57:36.7,-44:32:20
J1657-46,16:57:46,-46:26:00
J1658+3630,16:58:26.5,+36:30:30.0
J1658-2823,16:58:03,-28:23:04
J1658-4306,16:58:16.6,-43:06:50
J1658-47,16:58:24,-47:12:00
J1658-4958,16:58:54.9,-49:58:58.9
J1658-5324,16:58:39.3,-53:24:06.9
B1657-13,16:59:53.0,-13:05:09.0
J1659-4316,16:59:56.3,-43:16:06
J1659-4439,16:59:39.4,-44:39:01.4
J1659-54,16:59:23,-54:00:00
J1700-0954,17:00:03.2,-09:54:43.2
J1700-3312,17:00:52.9,-33:12:46.5
J1700-3611,17:00:49.3,-36:11:53
J1700-39,17:0:06,-39:43:00
J1700-3919,17:00:22.2,-39:19:00.0
J1700-4012,17:00:38.5,-40:12:38.6
J1700-4422,17:00:53.6,-44:22:27
J1700-4939,17:00:22.5,-49:39:15
J1701-3006A,17:01:12.5,-30:06:30.1
J1701-3006B,17:01:12.6,-30:06:49.0
J1701-3006C,17:01:12.8,-30:06:59.4
J1701-3006D,17:01:13.5,-30:06:42.8
J1701-3006E,17:01:13.2,-30:06:46.8
J1701-3006F,17:01:12.8,-30:06:51.7
J1701-3006G,17:01:13.8,-30:06:41.2
J1701-3006H,17:01:13.7,-30:06:25.1
J1701-3006I,17:01:12.7,-30:06:50.5
J1701-3130,17:01:43.5,-31:30:36.7
B1658-37,17:01:18.4,-37:26:27.2
B1657-45,17:01:29.1,-45:33:49.2
J1701-4958,17:01:12.8,-49:58:33
J1702-3932,17:02:14.3,-39:32:40
J1702-4128,17:02:52.5,-41:28:48.2
J1702-4145,17:02:57.4,-41:45:23.9
J1702-4217,17:02:36.4,-42:17:01.2
J1702-4306,17:02:27.3,-43:06:45.1
J1702-4310,17:02:26.9,-43:10:40
J1702-4428,17:02:52.6,-44:28:03
J1703-18,17:03:26,-18:48:54
B1700-18,17:03:51.0,-18:46:14.8
B1700-32,17:03:22.5,-32:41:48.0
J1703-38,17:03:26,-38:12:00
J1703-4442,17:03:20.5,-44:42:42
J1703-4851,17:03:54.5,-48:52:01.0
J1704-3549,17:04:26.4,-35:49:27.8
J1704-3756,17:04:57.4,-37:56:42.9
J1704-5236,17:04:40.5,-52:36:57.2
B1659-60,17:04:14.8,-60:16:54
J1705-04,17:05:00,-04:41:00
J1705-1903,17:05:43.8,-19:03:41.4
B1702-19,17:05:36.0,-19:06:38.6
J1705-3423,17:05:42.3,-34:23:43.1
J1705-3936,17:05:37.1,-39:36:29
J1705-3950,17:05:29.8,-39:50:59
J1705-4108,17:05:20.4,-41:08:44
J1705-4331,17:05:35.9,-43:31:13.7
J1705-6135,17:05:15.3,-61:35:15
J1706+59,17:07:00,+59:10:00
J1706-3839,17:06:21.3,-38:39:51
J1706-4020,17:06:05.4,-40:20:07.7
J1706-4310,17:06:04.5,-43:10:21
J1706-4434,17:06:23.1,-44:34:30.0
J1706-6118,17:06:09.7,-61:18:11.7
J1707+35,17:07:00,+35:56:00
B1703-40,17:07:21.7,-40:53:55.1
J1707-4341,17:07:40.1,-43:41:11.7
J1707-4417,17:07:41.4,-44:17:19
J1707-4729,17:07:15.5,-47:29:34.5
J1708+02,17:08:39,+01:48:06
J1708-3426,17:08:57.7,-34:26:44.0
J1708-3506,17:08:17.6,-35:06:22.6
J1708-3641,17:08:35.9,-36:41:21.5
J1708-38,17:8:54,-38:04:00
J1708-3827,17:08:16.5,-38:27:36
J1708-4008,17:08:46.8,-40:08:52.4
J1708-4522,17:08:12.9,-45:22:51
J1708-4843,17:08:33.9,-48:43:31.8
J1708-52,17:08:00,-52:00:00
B1701-75,17:08:02.5,-75:39:23
J1709+2313,17:09:05.7,+23:13:27.8
J1709-0333,17:09:32.6,-03:33:19.2
B1706-16,17:09:26.4,-16:40:57.7
J1709-3626,17:09:45.1,-36:26:03.6
J1709-3841,17:09:15.9,-38:41:17
J1709-43,17:09:47,-43:54:43
J1709-4342,17:09:30.9,-43:42:14
J1709-4401,17:09:41.3,-44:01:12.9
B1706-44,17:09:42.7,-44:29:08.2
J1710+4923,17:10:04.4,+49:23:11.4
J1710-2616,17:10:04.9,-26:16:35
J1710-37,17:10:30,-37:30:00
J1710-3946,17:10:48,-39:46:18
J1710-4148,17:10:23.7,-41:48:19
B1709-15,17:11:55.0,-15:09:39.7
J1711-3826,17:11:44.4,-38:26:14
J1711-4322,17:11:10.5,-43:22:53.1
B1707-53,17:11:53.1,-53:50:18.3
J1712-2715,17:12:11.7,-27:15:53
J1712-391,17:12:35,-39:43:00
J1712-392,17:12:35,-39:43:00
J1713+0747,17:13:49.5,+07:47:37.4
J1713+7810,17:13:27.0,+78:10:33.9
J1713-3844,17:13:02.3,-38:44:29
J1713-3949,17:13:28,-39:49:00
J1714-1054,17:14:40.1,-10:54:11.0
J1714-3810,17:14:05.7,-38:10:30.9
J1714-3830,17:14:19.8,-38:30:23
J1715+46,17:15:48,+46:03:00
J1715-3247,17:15:23.4,-32:47:30
J1715-3700,17:15:09.6,-37:00:04
J1715-3859,17:15:37.8,-38:59:25.1
J1715-3903,17:15:14.0,-39:02:57.1
J1715-4034,17:15:40.9,-40:34:18
J1715-4254,17:15:10.5,-42:54:54
J1716+34,17:16:08,+34:36:11
J1716-3720,17:16:11.3,-37:20:44
J1716-3811,17:16:29.6,-38:11:07.8
J1716-4005,17:16:42.0,-40:05:27
J1716-4111,17:16:44.3,-41:11:09.5
J1716-4711,17:16:01.1,-47:11:00.8
J1717+03,17:17:56,+03:11:00
J1717+4308A,17:17:06.4,+43:08:03.4
B1714-34,17:17:20.2,-34:24:59.6
J1717-3737,17:17:15.9,-37:37:36
J1717-3847,17:17:18.4,-38:47:03
J1717-3953,17:17:25.5,-39:53:55
J1717-4043,17:17:47.9,-40:43:50
J1717-40435,17:17:02.0,-40:43:31
B1713-40,17:17:52.3,-41:03:17.8
J1717-41,17:17:24,-41:23:00
J1717-5800,17:17:35.5,-58:00:05.2
J1718-3714,17:18:18.5,-37:14:16
J1718-3718,17:18:09.8,-37:18:51.5
J1718-3825,17:18:13.5,-38:25:18.0
J1718-41,17:18:12,-41:07:00
J1718-4539,17:18:11.9,-45:39:15.9
J1719-1438,17:19:10.0,-14:38:01.0
J1719-2330,17:19:36.1,-23:30:14
J1719-3458,17:19:12.1,-34:58:22.4
J1719-36,17:19:54,-36:42:00
B1715-40,17:19:01.7,-40:06:59.5
J1719-4302,17:19:48.7,-43:02:11.5
J1720+00,17:20:55,+00:40:00
J1720+2150,17:20:01.3,+21:50:12.8
B1718-02,17:20:57.2,-02:12:24.3
J1720-0533,17:20:54.5,-05:34:23.8
B1717-16,17:20:25.2,-16:33:33.7
J1720-2446,17:20:22.4,-24:46:27
B1717-29,17:20:34.1,-29:33:16.2
J1720-36,17:20:54,-36:53:00
J1720-3659,17:20:01.9,-36:59:06.5
J1721-0855,17:21:34.2,-08:55:08
B1718-19,17:21:01.4,-19:36:50
J1721-1939,17:21:46.6,-19:39:49
J1721-2457,17:21:05.5,-24:57:06.2
B1718-35,17:21:32.7,-35:32:49.6
J1722+35,17:22:06,+35:18:00
B1718-32,17:22:02.9,-32:07:45.3
B1718-36,17:22:09.7,-36:32:54.9
B1719-37,17:22:59.3,-37:12:04.5
J1722-4400,17:22:46.5,-44:00:33.2
J1723-2837,17:23:23.1,-28:37:57.1
J1723-2852,17:23:58.2,-28:52:51
J1723-3659,17:23:07.5,-36:59:15.2
J1723-38,17:23:00,-38:20:00
J1723-380,17:23:14,-38:03:00
J1723-40,17:23:12,-39:49:00
J1724-3149,17:24:44.8,-31:49:04
J1724-35,17:24:43,-35:49:00
J1724-3505,17:24:47.8,-35:05:36
J1724-4500,17:24:25.8,-45:00:15
J1725-0732,17:25:12.2,-07:32:59.2
J1725-2852,17:25:09.9,-28:52:22
J1725-3546,17:25:42.2,-35:46:16
J1725-38,17:25:19,-38:51:00
J1725-3848,17:25:00.1,-38:48:36
J1725-3853,17:25:27.2,-38:53:04.2
J1725-4043,17:25:41.4,-40:43:11
J1726-00,17:26:23,-00:15:00
J1726-31,17:26:36,-31:57:00
J1726-3530,17:26:07.5,-35:29:58
J1726-3635,17:26:49.6,-36:35:45.6
J1726-4006,17:26:33.3,-40:06:02
J1726-52,17:26:00,-52:00:00
J1727-1609,17:28:03,-16:11:10
J1727-2739,17:27:30.9,-27:38:53
J1727-29,17:27:19,-29:59:00
J1727-2946,17:27:15.0,-29:46:36.7
J1727-2951,17:27:00.4,-29:51:40.8
B1726-00,17:28:34.8,-00:07:45.0
J1728-36,17:28:27,-36:28:00
J1728-3733,17:28:46.2,-37:33:08
J1728-4028,17:28:27.6,-40:28:10
J1729-2117,17:29:10.8,-21:17:28
J1730+13,17:30:45,+13:05:00
J1730-2304,17:30:21.6,-23:04:31.1
J1730-2900,17:30:08.2,-29:00:46
B1727-33,17:30:32.5,-33:50:39.4
J1730-3353,17:30:55.5,-33:53:38
J1730-34,17:30:06,-34:48:00
J1731-1847,17:31:17.6,-18:47:32.6
J1731-3123,17:31:00.5,-31:23:43
J1731-33,17:31:48,-33:48:00
J1731-3322,17:31:14.3,-33:22:45
B1727-47,17:31:42.1,-47:44:36.2
J1732-1930,17:32:20.0,-19:30:09
J1732-3131,17:32:33.5,-31:31:23
J1732-3426,17:32:07.1,-34:26:05
J1732-35,17:32:30,-35:05:00
J1732-3729,17:32:20.8,-37:29:05
B1729-41,17:32:50.0,-41:28:48
J1732-4156,17:32:48.8,-41:56:29.6
J1732-5049,17:32:47.7,-50:49:00.3
J1733-01,17:33:00,-01:00:00
B1730-22,17:33:26.4,-22:28:37
J1733-2533,17:33:25.8,-25:33:11
J1733-2837,17:33:33.9,-28:37:33
J1733-3030,17:33:58.8,-30:30:49
J1733-3322,17:33:55.2,-33:22:03
B1730-37,17:33:26.7,-37:16:55.2
J1733-4005,17:33:58.7,-40:05:35.3
J1733-5515,17:33:00.4,-55:15:40
B1732-02,17:34:45.6,-02:12:39.1
J1734-2415,17:34:41.6,-24:15:20
J1734-2859,17:34:00.1,-28:59:53.4
J1734-3058,17:34:50.8,-30:58:41.4
